Line,Freq,Comments,gu,gl,Aul,Tu,Tl,abun_frac_H2,e_abun_frac_H2,abun_frac_H2_L15,Notes
29SiO(8-7),342.98084,14,,,,,,,,,
CO(3-2),345.79599,"3a, 8a, 14",7,5,2.59E-06,33.19,16.6,,,0.0001,
"CO(3-2,v=1)",342.64764,14,,,,,,,,,
CS(7-6),342.88285,"3a, 8a, 14",15,13,8.39E-04,65.83,49.37,5.00E-09,2.00E-09,6.31E-09,abun:Martin06_Fig6; eabun=0.4dex
H13CN(4-3),345.33977,"3a, 8a, 14",9,7,1.89E-03,41.43,24.86,1.20E-10,4.80E-11,1.26E-10,abun:Martin06_Fig6; eabun=0.4dex
HC15N(4-3),344.20032,"3a, 8a, 14",,,,,,,,,
HCN(4-3),354.50548,"3a, 8a, 14",9,7,2.05E-03,42.53,25.52,4.80E-09,2.00E-10,5.01E-09,abun:Martin06_Fig6
HCO+(4-3),356.73422,"3a, 8a, 14",9,7,2.56E-03,42.8,25.68,,,1.58E-09,abun:Leroy2015
33SO(9(8)-8(7)),343.086847,"3a, 8a",,,,,,,,,
"H2CS(10(5,6)-9(5,5))",343.201884,"3a, 8a,14",,,,,,,,,
"H2CS(10(2,9)-9(2,8))",343.321887,"3a, 8a, 14",,,,,,,,,
"H213CO(5(1,5)-4(1,4))",343.325713,"3a, 8a, 14",,,,,,,,,
"H2CS(10(3,8)-9(3,7))",343.409456,"3a, 8a,14",,,,,,,,,
"H2CS(10(3,7)-9(3,6))",343.413647,"3a, 8a, 14",,,,,,,,,
"HC3N(30-29,v7=2,l=2f)",343.7815469,14,,,,,,,,,
"SO(8(8)-7(7),3Sv=0)",344.310792,"3a, 8a, 14",,,,,,,,,
"34SO2(13(4,10)-13(3,11))",344.8079147,"3a, 8a",,,,,,,,,
"HC3N(38-37,v4=1)",345.1225871,"3a, 8a",,,,,,,,,
"H13CN(4-3,v2=1)",345.238711,"3a, 8a",,,,,,,,,
HC3N(38-37),345.609016,"3a, 8a, 14",,,,,,,,,
"34SO2(17(4,14)-17(3,15))",345.929294,"3a, 8a",,,,,,,,,
HC3N(39-38),354.697456,"3a, 8a, 14",,,,,,,,,
"SO2(16(4,12)-16(3,13),v2=1)",354.799992,8a,,,,,,,,,
"H213CO(5(2,4)-4(2,3))",354.898595,8a,,,,,,,,,
"H213CO(12(1,11)-12(1,12))",355.041791,"3a, 8a",,,,,,,,,
"SO2(12(4,8)-12(3,9))",355.045506,"3a, 8a",,,,,,,,,
"SO2(32(2,30)-33(1,33))",355.154951,14,,,,,,,,,
"SO2(17(4,14)-18(1,17))",355.186463,"8a, 14",,,,,,,,,
"H213CO(5(3,3)-4(3,2))",355.190917,"8a, 14",,,,,,,,,
"HC3N(39-38,v6=1,l=1e)",355.277594,"3a, 8a, 14",,,,,,,,,
H15NC(4-3),355.4394981,"3a, 8a, 14",,,,,,,,,
"HC3N(39-38,v6=1,l=2f)",355.55651,"3a, 8a, 14",,,,,,,,,
"HC3N(39-38,v7=1,l=1e)",355.566254,"3a, 8a, 14",,,,,,,,,
S18O(8(9)-7(8)),355.5711182,"3a, 8a, 14",,,,,,,,,
"HC3N(39-38,v6=2,l=0)",355.837441,8a,,,,,,,,,
"HC3N(39-38,v7=1,l=1f)",356.072445,"3a, 8a, 14",,,,,,,,,
"HC3N(39-38,v6=2,l=2f)",356.125617,"8a, 14",,,,,,,,,
"HC3N(39-38,v6=2,l=2e)",356.13175,"8a, 14",,,,,,,,,
"HC3N(47-46,v7=2)",356.1346126,"8a, 14",,,,,,,,,
"HCN(4-3,v2=2,l=2f)",356.1348499,"8a, 14",,,,,,,,,
"HCN(4-3,v2=2,l=2e)",356.1622538,"3a, 8a",,,,,,,,,
"HCN(4-3,v2=1,l=1f)",356.255566,"3a, 8a",,,,,,,,,
"HCN(4-3,v2=2,l=0)",356.301176,"3a, 8a, 14",,,,,,,,,
"HC3N(39-38,v7=2,l=0)",356.7985018,8a,,,,,,,,,
"HC3N(39-38,v7=2,l=2e)",356.9371366,"3a, 8a",,,,,,,,,
"HC3N(39-38,v7=2,l=2f)",357.079447,"8a, 14",,,,,,,,,
"34SO2(20(0,20)-19(1,19))",357.1021822,3a,,,,,,,,,
"SO2(13(4,10)-13(3,11))",357.165379,"3a, 8a, 14",,,,,,,,,
"SO2(15(4,12)-15(3,13))",357.24118,"3a, 8a",,,,,,,,,
"SO2(11(4,8)-11(3,9))",357.387569,"3a, 8a",,,,,,,,,
"SO2(8(4,4)-8(3,5))",357.581439,"3a, 8a",,,,,,,,,
"SO2(9(4,6)-9(3,7))",357.67181,"83a, a",,,,,,,,,
"SO2(7(4,4)-7(3,5))",357.892433,"3a, 8a, 14",,,,,,,,,
"SO2(6(4,2)-6(3,3))",357.925838,"3a, 8a, 14",,,,,,,,,